,Sentence,Result
140,The goal of access Remote support ) Access ( RDA ): is an ( 9579 ) application layer interoperability standard ( protocol and formats to a ISO striping an object based on the clearance level to of subject ( user ) and the sensitivity the access Imediates ): view does not need to know where the data originates from ; Mandatory Access Control ( MAC label of the object maintenance of a database on a transaction basis for the purpose of rapid error or failure recovery and the Replication Databases .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
141,"( These controls are always enforced above any discretionary control implemented by users ) ; Mirrored : of user the application dependent , or dependent on a manual process / human intervention .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
142,"It will include controls or qualifying , data to be at generated or supplied to these other processes .","[Not Useful Class, Useful Use Case, Useful Activity]"
143,The information / parameters may be dependent as the involved .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
144,"For example , a view that joins table data from several databases provides location transparency because system processing database of ; Location Transparency : occurs when the physical location of data is transparent to the applications and the supported users the the data at each site .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
145,It refers to proponency at the source and record level ; to Redundant respect authority Scheme : Describes the sites at which databases are replicated and also who owns and has update with Proponent Array Inexpensive reason for using RAID storage is its reliability .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
146,RAID has the same advantages by as and main of,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
147,"The CPU Disks ( RAID ): A RAID shadowing appears as one very large , reliable disk to the . ; system network to an object potentially implies access to the information it contains .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
148,Examples of objects are records,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
149,"Access , . receives RDBMS nodes resident own system utilities and operating system ; Object : A passive entity that contains information blocks or pages words , fields , processors , video displays , keyboards , clocks , , printers , and , bytes COTS , segments files , , directories directory trees , , programs bits as and , as , well user could the dialog open is box choose : are . selection","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
150,Menu . game a previous a,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
151,Open .,"Your sentence ""Open ."" is quite vague and does not provide enough context or information to determine its usefulness for creating a Class Diagram, Use Case Diagram, or Activity Diagram. Therefore, the output would be:

[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
152,None .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
153,A saved game that display statistics player,"[Useful Class, Useful Use Case, Not Useful Activity]"
154,The . data file the to redraw is game board,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
155,"The . saved previously the of data the all contains file according movement . to player the by used time the , block of number solve the player a of name the of composed is . line","[Useful Class, Not Useful Use Case, Not Useful Activity]"
156,"Each ,","It seems the sentence ""Each ,"" is incomplete and does not provide sufficient context or information to determine its usefulness for any diagram. Here's the classification:

**[Not Useful Class, Not Useful Use Case, Not Useful Activity]**"
157,Window the . selection menu or ) 3.2.2.1 chapter see ( game the of headache,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
158,End game the of file statistic the from read are statistcs,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
159,"This . set and the the movements previous the of number the , positions previous 10000 last their , blocks the of positions current the : game the time passed by the : the lines open is box dialog","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
160,A . selection,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
161,Menu the . current the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
162,Save .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
163,"None . headache the solve to user game to save to the , saved never was game the","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
164,If . selection,"It seems like your input ""If . selection"" is incomplete or unclear. Could you please provide a full sentence or clarify your request? This will help me determine whether it is useful for Class Diagram, Use Case Diagram, or Activity Diagram."
165,Menu . game current the,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
166,"Save . data file the of statistics player processing is identiqual to used was that file previous the into saved are data internal to following , not","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
167,"If . "" ... as Save "" action the the 10","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
168,"The listbox 3.2.2.2 chapter see , player the by completed is Statistics with Window Finish","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
169,The . statistics player 10 of composed is statistics game .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
170,"The statistics of statistic the in recorded is ) headache the solve to passed . time , number movement block the , name its ( player the the file","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
171,None recorded . start the since time ; start the since movements block of number : game the during recorded are statistics following user,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
172,The,"It seems like the sentence is incomplete or too short to determine its usefulness for any of the diagrams. Based on the provided sentence:

**[Not Useful Class, Not Useful Use Case, Not Useful Activity]**"
173,A block movement . is time recorded previous the and movement block the of time . of,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
